h0,h1,h2
-0.107754804,0.0427735969,-0.125172153
-0.0437540859,0.0704883784,-0.101364098
0.0937661007,-0.0470787175,-0.0523141548
-0.130772114,0.173187196,-0.0961939916
0.0740587339,-0.0468389764,-0.0231832992
0.0333548039,-0.0323456973,-0.0882472843
0.0780113488,-0.128597841,-0.0469829626
-0.136770174,0.00353081548,-0.101261511
-0.110933147,-0.0120487679,-0.209220886
0.0760198012,-0.060619507,-0.0603203773
-9.03382897e-05,0.00522304047,-0.141207188
0.0771356747,-0.251538396,-0.0319307223
0.145493597,0.142113775,0.0573791116
0.0354002193,0.0925269946,0.0539423823
0.160558417,-0.0936192721,0.00998152047
-0.0997010097,-0.0246549007,-0.152501553
-0.0820752978,0.112005763,-0.0228709728
-0.0452194177,-0.0500419736,-0.0348234028
0.249838755,-0.00488266954,-0.0940158442
0.0784843341,0.100085422,0.00831221975
0.00800372288,-0.283880621,-0.133704498
-0.174548,0.103314362,-0.00438822433
0.0338788629,0.0386430025,0.013060662
-0.149232984,0.0159354508,-0.013401174
-0.0236507431,-0.0594399795,-0.0976950899
0.0140685467,-0.018733168,-0.0429417789
0.123109989,0.0521607883,-0.0475040153
-0.0124316569,-0.0114171198,-0.14404054
0.162322089,0.000271491706,-0.118842758
0.235072985,0.0554698706,-0.162528366
0.0120111294,-0.0697991475,-0.109909996
0.219110832,0.130866185,0.0313069671
-0.000301862136,-0.016724607,-0.078063719
-0.233257964,-0.0560424514,-0.0488015972
0.17305325,0.0138922259,0.0071759182
-0.0786243603,0.167661294,-0.0170375276
0.11302577,-0.0251265801,-0.0416423939
-0.0544028468,0.168304056,-0.0598448291
0.00497439317,-0.122666724,-0.0844130218
-0.205098763,0.16056484,-0.112355746
0.034311939,-0.221542045,-0.0520924591
0.146747842,0.158177897,-0.0231989678
0.153603107,-0.142017528,-0.0789534003
0.0198233649,0.120706119,-0.0484987684
0.0477775894,-0.0948868319,-0.0326858163
0.0793927759,-0.018342888,-0.0179630332
0.0847457945,0.00155356398,-0.109267831
-0.0692871213,0.109136939,-0.174357846
-0.157850504,0.0588371344,-0.178265586
0.00373735023,-0.116846956,-0.122866184
0.0331329629,0.00917750131,-0.0343139321
0.145030335,-0.0442266613,-0.256314248
-0.00840644073,0.103174604,-0.10551893
0.00829421729,0.135544643,-0.0367033482
-0.045817975,0.0312342793,-0.0320137665
0.0142117264,-0.00439162692,-0.0225452427
0.174266398,-0.0901637748,-0.154000342
-0.100500144,0.118914023,-0.116619848
0.129998013,-0.0749261305,-0.0229245834
0.0740602762,0.0632296577,-0.0770962313
0.300406516,-0.156157985,0.0224489775
-0.0137703409,0.0695216432,-0.0398168564
-0.126764983,-0.102515243,-0.0978142843
0.121869616,-0.0534243993,-0.0991131663
-0.0950886607,-0.114651643,-0.190798312
0.0497342236,-0.131664053,-0.0219949633
0.141459167,-0.035917297,-0.00732272258
-0.0269223675,0.098150976,-0.0857499689
-0.0982405096,-0.0349365957,-0.174819171
0.031527441,-0.0971811265,-0.0188145749
-0.0699326694,0.0721284226,-0.0578447245
-0.121761188,0.21002084,-0.0898413733
0.0506274924,-0.0196010582,-0.109419875
-0.0891674608,0.191709697,-0.122122966
0.0896989033,-0.0395067073,-0.0932007879
0.187831834,-0.165836006,-0.160837263
0.186568156,-0.11570055,-0.294057518
0.127971575,0.165591463,-0.158937857
0.316237539,-0.00924969185,-0.164060071
-0.15963766,0.101933829,0.0298103001
-0.219549417,0.17166841,0.00851778593
-0.0928215235,-0.0412199795,-0.0766521543
-0.0692500323,-0.0211629923,-0.0499910153
-0.00372113427,-0.107385203,0.00811228994
0.102602735,0.108271688,-0.187606812
0.200850278,-0.093138434,-0.261692941
0.173311666,0.125995472,-0.16542159
0.101543747,-0.0972298607,-0.000531971396
-0.115257777,0.148544133,-0.153336599
0.170806155,-0.0161503069,-0.063881278
-0.0731111541,0.0737632886,-0.0229874533
0.158325404,-0.0629817843,-0.0749195963
-0.0719205216,0.00995037612,-0.115422793
0.0622543097,-0.0932036266,-0.03180103
-0.0912262127,-0.0301031414,-0.089889355
-0.104815386,0.0588846654,0.0508697405
0.0495100319,0.145564139,-0.0543792769
0.230594441,-0.0672276244,-0.0359203555
0.0291051045,0.188410223,-0.0180346221
0.0537293851,-0.222558901,0.0148713095
-0.0268668421,0.21903953,-0.102298774
0.0282841567,0.0606638193,-0.0602998696
0.148897976,-0.00363866868,-0.103056513
0.197833821,0.0391384996,-0.00151762622
0.143368542,0.0625786483,-0.0291153416
0.0194360614,-0.0284866337,-0.146841854
0.101502009,-0.0351091139,0.0836552233
-0.0674370453,0.0429584123,-0.0626928955
0.0369783863,0.075684227,-0.0953422412
0.0864136145,-0.100980595,-0.136112794
-0.03285072,-0.028106058,-0.0807428882
-0.174485728,0.186630741,-0.0968389437
0.0428782888,-0.0594189651,-0.147812247
0.139574572,0.050976444,0.00866991561
0.0376757495,0.0206194501,-0.0606076904
0.189070895,-0.0508127511,-0.107692346
0.141733035,-0.0371989682,-0.0934608579
0.00166622212,0.200145662,-0.117623366
0.0144139603,0.0314149931,-0.109413028
-0.192311317,-0.06570445,-0.0664308444
-0.0173077062,-0.0319834128,-0.0845784843
0.0239716098,-0.0736513659,-0.076997906
-0.0225281026,-0.187902227,0.016681442
0.0573620237,0.108645052,0.0141475741
0.0911137015,-0.0461111553,-0.106401913
0.117660165,-0.000336065888,0.0287704095
0.0274154153,-0.0160957016,-0.0473954789
-0.0904289857,-0.0150815994,-0.0893150046
-0.0666000396,0.0540131144,-0.0752466545
-0.131713986,0.17374,-0.0947716609
-0.00897637289,-0.01387027,-0.101748712
